id,brand,model,model_year,milage,fuel_type,engine,transmission,ext_col,int_col,accident,price
665,Porsche,911 Carrera 4S,2015,64800,Gasoline,420.0HP 3.0L Flat 6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Black,None reported,115999
666,Audi,A6 55 Prestige,2019,48000,Hybrid,335.0HP 3.0L V6 Cylinder Engine Gasoline/Mild Electric Hybrid,A/T,White,Brown,None reported,30000
667,Land,Rover Range Rover 3.0L V6 Supercharged HSE,2017,56536,Gasoline,380.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Blue,Beige,At least 1 accident or damage reported,26990
668,Honda,Civic EX,2004,190640,Gasoline,140.0HP 1.8L 4 Cylinder Engine Gasoline Fuel,A/T,Red,–,None reported,6299
669,Honda,Pilot EX-L,2011,79635,Gasoline,280.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Silver,Black,None reported,20500
670,Porsche,911 Carrera S,2023,4786,Gasoline,379.0HP 3.0L Flat 6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Black,None reported,74500
671,Lexus,GX 460 Premium,2022,16200,Gasoline,301.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,A/T,White,Black,None reported,64250
672,BMW,M4 Base,2017,18000,Gasoline,425.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,A/T,White,Brown,None reported,53000
673,Maserati,Quattroporte S Q4 GranLusso,2019,14750,Gasoline,424.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Black,None reported,53500
674,Chevrolet,Suburban Premier,2018,50000,Gasoline,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,White,Black,At least 1 accident or damage reported,25900
675,Land,Rover Range Rover Supercharged LWB,2020,64800,Gasoline,518.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,A/T,Black,Black,At least 1 accident or damage reported,28900
676,Ford,Shelby GT500 Base,2021,22000,Gasoline,760.0HP 5.2L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,White,Black,None reported,73000
677,Audi,A4 2.0T Premium,2016,83500,E85 Flex Fuel,220.0HP 2.0L 4 Cylinder Engine Flex Fuel Capability,8-Speed A/T,Silver,Black,None reported,18795
678,Ford,Focus ST Base,2014,104500,Gasoline,252.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,Gray,Gray,None reported,28000
679,Audi,S5 3.0T Premium Plus,2015,80300,Gasoline,333.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,7-Speed A/T,Black,Black,None reported,17000
680,BMW,528 i,2001,2000,Gasoline,300.0HP 2.3L 4 Cylinder Engine Gasoline Fuel,5-Speed M/T,Gray,–,None reported,25000
681,Ford,Expedition EL Limited,2015,14353,Gasoline,365.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Black,Black,None reported,48950
682,RAM,2500 Big Horn,2019,83280,Gasoline,2.0L I4 16V GDI DOHC Turbo,8-Speed Automatic,Bright White Clearcoat,Diesel Gray / Black,None reported,28324
683,Chevrolet,Camaro 2LT,2011,70000,Gasoline,312.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,A/T,Gold,Beige,None reported,12500
684,Mercedes-Benz,E-Class E 550,2014,53500,Gasoline,402.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,Silver,Black,None reported,59000
685,Mercedes-Benz,E-Class E 400 4MATIC,2013,85000,Gasoline,329.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,A/T,Black,Black,At least 1 accident or damage reported,5230
686,Pontiac,Firebird Base,2005,173456,Gasoline,200.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,4-Speed A/T,Black,Black,None reported,11000
687,BMW,M3 Base,2008,80000,Gasoline,414.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,Gray,Black,None reported,23500
688,Land,Rover Range Rover Sport HSE,2021,28000,Gasoline,340.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,A/T,Red,Black,None reported,45000
689,Ford,Expedition XLT,2021,88883,Gasoline,3.5L V6 24V PDI DOHC Twin Turbo,10-Speed Automatic,Oxford White,Black Onyx,None reported,68495
690,Chevrolet,Suburban LTZ,2016,116210,Gasoline,5.3L V8 16V GDI OHV,6-Speed Automatic,Black,Jet Black,None reported,51890
691,Honda,S2000 Base,2008,101000,Gasoline,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,M/T,Blue,Red,None reported,11500
692,Ford,Mustang GT Premium,2016,40570,Gasoline,435.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,Blue,Black,None reported,36950
693,Ford,F-250 Lariat,2019,89500,Diesel,440.0HP 6.7L 8 Cylinder Engine Diesel Fuel,6-Speed A/T,Silver,Black,None reported,40900
694,Dodge,Challenger SRT Hellcat,2022,12700,Gasoline,707.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,A/T,Orange,Black,None reported,41500
695,BMW,528 i xDrive,2015,125575,Gasoline,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,8-Speed A/T,Gray,White,At least 1 accident or damage reported,26999
696,Audi,S4 3.0T Premium Plus,2015,123000,Gasoline,333.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,A/T,Blue,Black,At least 1 accident or damage reported,13999
697,MINI,Clubman Cooper S ALL4,2018,68000,Gasoline,189.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Blue,Black,None reported,31000
698,Bentley,Continental GT V8,2021,12600,Gasoline,542.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,A/T,Black,Beige,None reported,399900
699,Hyundai,911 Carrera S,2013,61600,Gasoline,400.0HP 3.8L Flat 6 Cylinder Engine Gasoline Fuel,7-Speed A/T,Blue,Gray,None reported,71000
700,Mercedes-Benz,AMG C 43 Base 4MATIC,2018,53401,Gasoline,362.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,9-Speed A/T,Black,Black,At least 1 accident or damage reported,23999
701,Dodge,Charger Scat Pack,2019,44741,Gasoline,485.0HP 6.4L 8 Cylinder Engine Gasoline Fuel,A/T,Black,Black,None reported,47500
702,Tesla,Model Y Long Range,2022,4786,,425.0HP Electric Motor Electric Fuel System,A/T,Silver,Black,None reported,86999
703,Mazda,CX-30 Premium Package,2021,2636,Gasoline,2.5L I4 16V GDI DOHC,6-Speed Automatic,Soul Red Crystal Metallic,White / Brown,None reported,27875
704,BMW,M340 i xDrive,2022,30000,Hybrid,382.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,8-Speed A/T,Blue,Gray,None reported,27900
705,Land,Rover Defender S,2023,6204,Hybrid,395.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,A/T,Green,Beige,None reported,63000
706,Ford,Focus RS Base,2013,10500,Gasoline,350.0HP 2.3L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,Orange,Black,None reported,21000
707,GMC,Sierra 1500 SLE Crew Cab,2006,149460,E85 Flex Fuel,295.0HP 5.3L 8 Cylinder Engine Flex Fuel Capability,4-Speed A/T,Black,Black,At least 1 accident or damage reported,8700
708,Alfa,Romeo Stelvio Ti Sport,2020,28644,Gasoline,280.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Blue,Black,None reported,59980
709,Porsche,Cayman S,2013,65000,Gasoline,325.0HP 3.4L Flat 6 Cylinder Engine Gasoline Fuel,6-Speed M/T,Black,Black,None reported,33999
710,Audi,A8 4.0T,2016,74000,Gasoline,420.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,White,Black,None reported,21500
711,BMW,640 Gran Coupe i xDrive,2020,35003,Gasoline,3.0 Liter Turbo,Automatic,Black Sapphire Metallic,Black,None reported,38405
712,Porsche,911 Turbo S,2016,122961,Gasoline,3.8L H6 24V MPFI DOHC,6-Speed Manual,Gray,Medium Stone,At least 1 accident or damage reported,11995
713,GMC,Sierra 1500 Denali,2021,51351,Diesel,475.0HP 6.7L 8 Cylinder Engine Diesel Fuel,10-Speed A/T,Gray,Gray,None reported,45900
714,Nissan,Leaf SV PLUS,2023,7089,,214.0HP Electric Motor Electric Fuel System,1-Speed A/T,Black,Blue,None reported,9500
715,Ford,Mustang SVT Cobra,2007,4000,Gasoline,390.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,M/T,Red,Beige,None reported,139000
716,Ford,F-150 Lariat,2022,24500,Gasoline,375.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,10-Speed A/T,Gray,Black,None reported,105000
717,RAM,1500 Longhorn,2020,41000,Gasoline,395.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,A/T,Black,Black,None reported,53500
718,Mercedes-Benz,S-Class S 580 4MATIC,2019,9949,Gasoline,4.0L V8 32V GDI DOHC Twin Turbo,9-Speed Automatic,Black,Black,None reported,254900
719,Toyota,Highlander XLE,2022,23677,Gasoline,3.5L V6 24V PDI DOHC,8-Speed Automatic,Blue,Black,None reported,44596
720,Ford,Focus SE,2017,104733,Gasoline,160.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,Blue,Black,None reported,13600
721,Lexus,GX 460 Base,2020,30301,Gasoline,4.6L V8 32V MPFI DOHC,7-Speed Automatic,Atomic Silver,Red,None reported,57480
722,Toyota,Matrix XR,2003,173452,Gasoline,130.0HP 1.8L 4 Cylinder Engine Gasoline Fuel,4-Speed A/T,Blue,Beige,None reported,7999
723,Tesla,Model Y Long Range,2023,915,,425.0HP Electric Motor Electric Fuel System,A/T,Gray,Black,None reported,59950
724,Acura,TL Type S,2006,77750,Gasoline,280.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,6-Speed M/T,Brown,Black,None reported,23000
725,Audi,A4 2.0T Premium quattro,2012,111773,Gasoline,211.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,White,Black,None reported,11000
726,Ford,Mustang GT Premium,2017,75466,Gasoline,460.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,Black,Black,None reported,21000
727,Ford,F-250 LARIAT,2017,44261,Diesel,Intercooled Turbo Diesel V-8 6.7 L/406,Automatic,White,Black,None reported,51598
728,MINI,Countryman Cooper S ALL4,2014,91877,Gasoline,181.0HP 1.6L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,Black,Black,None reported,18900
729,Lexus,LS 460 Crafted Line,2012,143500,Gasoline,386.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Beige,At least 1 accident or damage reported,11400
730,Mercedes-Benz,S-Class S 580 4MATIC,2023,1295,Gasoline,4.0L V8 32V GDI DOHC Twin Turbo,9-Speed Automatic,–,–,None reported,239995
731,Volvo,C70 T5,2008,103000,Gasoline,218.0HP 2.5L 5 Cylinder Engine Gasoline Fuel,A/T,Brown,Beige,At least 1 accident or damage reported,13500
732,Ford,Expedition Max King Ranch,2019,5968,Gasoline,375.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,10-Speed A/T,Red,Black,At least 1 accident or damage reported,93999
733,Mercedes-Benz,CLK-Class CLK 350,2015,58800,Gasoline,268.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,7-Speed A/T,Black,Black,None reported,15400
734,Toyota,4Runner SR5,2014,124756,Gasoline,270.0HP 4.0L V6 Cylinder Engine Gasoline Fuel,A/T,Gold,Beige,At least 1 accident or damage reported,16995
735,Land,Rover Discovery HSE LUXURY,2017,115550,Gasoline,340.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Beige,None reported,23000
736,Hyundai,Genesis 3.8,2022,1300,Gasoline,311.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Silver,–,None reported,48000
737,Chevrolet,Equinox LT,2012,131100,Gasoline,264.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Black,Black,None reported,13500
738,Porsche,Cayman Base,2011,66000,Gasoline,275.0HP 2.7L Flat 6 Cylinder Engine Gasoline Fuel,7-Speed A/T,Red,Black,At least 1 accident or damage reported,11500
739,Subaru,BRZ Limited,2004,59500,Gasoline,210.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,Silver,Black,None reported,16500
740,Chevrolet,Suburban 2500,2005,174421,Gasoline,295.0HP 4.8L 8 Cylinder Engine Gasoline Fuel,A/T,Gray,Brown,None reported,9900
741,Audi,Q7 55 Prestige,2021,26293,Gasoline,3.0L V6 24V GDI DOHC Twin Turbo,8-Speed Automatic,Mythos Black Metallic,Black,None reported,46552
742,Mercedes-Benz,C-Class C300 4MATIC,2019,29136,Gasoline,3.0 Liter Turbo,Automatic,White,Black,None reported,42998
743,Mercedes-Benz,C-Class C 300,2013,62600,Gasoline,241.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,Black,Black,None reported,23000
744,Dodge,Dakota SLT Quad Cab,2006,170000,Gasoline,210.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,4-Speed A/T,Black,Gray,At least 1 accident or damage reported,6500
745,Audi,RS 7 4.0T Prestige,2018,4126,Gasoline,560.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Gray,Black,None reported,166900
746,Chevrolet,Camaro 2SS,2018,79000,Gasoline,455.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,White,Black,At least 1 accident or damage reported,29999
747,Toyota,Tacoma TRD Sport,2020,42246,Gasoline,3.5 Liter,Automatic CVT,Black,Black,None reported,41999
748,INFINITI,QX80 Luxe,2020,60000,Gasoline,400.0HP 5.6L 8 Cylinder Engine Gasoline Fuel,A/T,Silver,Beige,None reported,29500
749,Nissan,Murano SL,2008,160000,Gasoline,240.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Black,Beige,None reported,10500
750,Mercedes-Benz,C-Class C 300 4MATIC Sport,2017,62378,Gasoline,241.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,White,Black,None reported,23900
751,Chevrolet,Suburban Z71,2023,2043,Gasoline,420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,10-Speed A/T,White,Beige,None reported,51000
752,Honda,Civic LX,2003,111000,Gasoline,115.0HP 1.7L 4 Cylinder Engine Gasoline Fuel,M/T,Silver,Gray,None reported,11500
753,Ford,Explorer Limited,2015,116226,Gasoline,290.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Gray,At least 1 accident or damage reported,8500
754,Mercedes-Benz,CLA-Class CLA 250,2016,42750,Gasoline,208.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Gray,Black,None reported,19600
755,Honda,Accord EX-L,2008,156856,Gasoline,190.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,5-Speed A/T,Silver,Black,At least 1 accident or damage reported,7100
756,BMW,535 i xDrive,2016,69700,Gasoline,300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,A/T,Silver,Black,None reported,17000
757,Honda,Civic LX,2012,41650,Gasoline,158.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,Black,Black,None reported,9000
758,Pontiac,Firebird Trans Am,2001,150000,Gasoline,310.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,A/T,Black,Beige,None reported,2000
759,GMC,Sierra 2500 Denali,2017,86000,Diesel,445.0HP 6.6L 8 Cylinder Engine Diesel Fuel,6-Speed A/T,Black,Black,None reported,62000
760,Jeep,Grand Cherokee L Limited,2020,43671,Gasoline,3.6L V6 24V MPFI DOHC,8-Speed Automatic,Velvet Red Pearlcoat,Global Black,None reported,26772
761,Mercedes-Benz,GLC 300 Base 4MATIC,2023,8457,Gasoline,2.0L I4 16V GDI DOHC Turbo,9-Speed Automatic with Auto-Shift,Black,Gray,None reported,116999
762,Lincoln,Navigator L Select,2016,115600,Gasoline,380.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,10-Speed A/T,Black,Black,None reported,29900
763,Toyota,Tacoma TRD Sport,2016,42245,Gasoline,3.5 Liter,Automatic,Midnight Black Metallic,Black/Gun Metal,None reported,46598
764,Toyota,Land Cruiser Base,2016,61000,Gasoline,381.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,A/T,White,Beige,None reported,29000
765,Ford,F-150 XLT,2018,65441,Gasoline,375.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,10-Speed A/T,Gray,Black,None reported,25925
766,Toyota,Tacoma Double Cab,2007,123921,Gasoline,236.0HP 4.0L V6 Cylinder Engine Gasoline Fuel,5-Speed A/T,Silver,Gray,None reported,9975
767,Mercedes-Benz,AMG G 63 Base,2017,67000,Gasoline,563.0HP 5.5L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,Silver,Black,None reported,44850
768,Mercedes-Benz,GLC 300 GLC 300,2022,10431,Gasoline,2.0 Liter Turbo,Automatic,Obsidian,–,None reported,20199
769,Ford,Transit Connect XLT,2016,112000,Gasoline,169.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,White,Black,None reported,19000
770,Ford,Expedition Limited,2021,39611,Gasoline,3.5L V6 24V PDI DOHC Twin Turbo,10-Speed Automatic,Magnetic Metallic,Ebony,None reported,50204
771,Lexus,IS 350 Base,2012,125519,Gasoline,306.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Black,Black,None reported,18000
772,INFINITI,QX60 Base,2016,91239,Gasoline,265.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,White,Beige,None reported,13500
773,Jeep,Wrangler Unlimited Rubicon,2016,79876,Gasoline,285.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,A/T,Black,Black,None reported,32950
774,Toyota,4Runner SR5 Premium,2014,142500,Gasoline,270.0HP 4.0L V6 Cylinder Engine Gasoline Fuel,A/T,Brown,Black,At least 1 accident or damage reported,22500
775,Subaru,Outback 2.5i Limited,2015,157530,Gasoline,173.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,Automatic CVT,Twilight Blue Metallic,Black,At least 1 accident or damage reported,12433
776,BMW,435 i,2013,39000,Gasoline,300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Beige,None reported,21000
777,Chevrolet,Avalanche 1500 LTZ,2008,138450,Gasoline,366.0HP 6.0L 8 Cylinder Engine Gasoline Fuel,A/T,Silver,Black,None reported,9000
778,Ford,F-150 XLT,2019,81778,Gasoline,3.5L V6 24V PDI DOHC Twin Turbo,10-Speed Automatic,Black,Black,None reported,26125
779,Lincoln,MKZ Reserve I,2019,37100,Gasoline,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,Blue,Black,None reported,26500
780,Nissan,350Z Enthusiast,2008,117200,Gasoline,306.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,6-Speed M/T,Black,Black,None reported,10500
781,Audi,RS 7 4.0T Prestige,2015,58600,Gasoline,560.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,White,Black,None reported,53900
782,Chevrolet,Corvette Stingray Z51,2018,68816,Gasoline,460.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,White,Black,None reported,26485
783,Chevrolet,Corvette Base,2004,159890,Gasoline,340.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,A/T,Red,Beige,At least 1 accident or damage reported,15000
784,Ford,Explorer XLT,2017,169000,Gasoline,290.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,White,Beige,At least 1 accident or damage reported,18000
785,Tesla,Model X Long Range,2020,6700,,778.0HP Electric Motor Electric Fuel System,A/T,Silver,Black,None reported,28500
786,Porsche,Macan S,2021,33499,Gasoline,3.0 Liter Turbo,Automatic,Black,Black,None reported,34999
787,Jeep,Wrangler Unlimited Sport,2013,94500,Gasoline,285.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,4-Speed A/T,Red,Black,,26500
788,Chevrolet,Camaro 1SS,2021,11200,Gasoline,455.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,Gray,Black,None reported,97555
789,Mazda,Mazda3 i Touring,2016,57000,Gasoline,155.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,White,–,None reported,19500
790,Ford,Transit Connect XL w/Rear Symmetrical Doors,2018,74000,Gasoline,169.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,A/T,Gray,Black,At least 1 accident or damage reported,24999
791,Toyota,Camry Solara SLE V6,2008,212000,Gasoline,263.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,White,Gray,None reported,10900
792,RAM,1500 Laramie,2021,15882,Gasoline,5.7L V8 16V MPFI OHV,8-Speed Automatic,Gray,Black,None reported,49999
793,Hyundai,Santa Fe SEL,2021,4285,Gasoline,2.5L I4 16V PDI DOHC Turbo,8-Speed Automatic,Magnetic Metallic,Black,None reported,39687
794,Jeep,Wrangler Unlimited Sport S,2018,8100,Gasoline,285.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,A/T,Black,Black,None reported,28900
795,GMC,Sierra 1500 SLT,2020,23400,Gasoline,420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,A/T,Blue,Black,None reported,44850
796,Chevrolet,Suburban LT,2018,20200,Gasoline,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,A/T,Gray,Black,None reported,27000
797,Ford,Mustang Mach-E GT,2022,7661,,Electric,M/T,Star White,Black Onyx,None reported,68969
798,Dodge,Durango R/T,2016,148000,Gasoline,360.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,5-Speed A/T,Black,Black,None reported,15000
799,Jaguar,XF 25t Premium,2019,16700,Gasoline,247.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,9-Speed A/T,Gray,Gray,None reported,39500
800,Porsche,Cayenne Diesel,2011,110000,Diesel,240.0HP 3.0L V6 Cylinder Engine Diesel Fuel,A/T,Black,Black,None reported,8999
801,Ford,F-150 Lariat,2013,152000,Gasoline,365.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Black,Black,At least 1 accident or damage reported,15500
802,Porsche,911 Carrera S,2018,36100,Gasoline,430.0HP 3.8L Flat 6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Blue,Black,None reported,38900
803,Maserati,Ghibli S Q4 GranSport,2020,4590,Gasoline,424.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Gray,Black,None reported,69900
804,Audi,A6 2.0T Sport,2018,90818,Gasoline,252.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,White,Black,None reported,26000
805,Ford,F-150 XLT,2018,85000,Gasoline,375.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Gray,Black,None reported,27499
806,Lincoln,Town Car Signature,2010,135603,Gasoline,239.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,A/T,White,Beige,None reported,19995
807,Hummer,H2 Base,2005,124250,Gasoline,316.0HP 6.0L 8 Cylinder Engine Gasoline Fuel,A/T,Beige,Beige,None reported,7000
808,Hyundai,Genesis Coupe 3.8 Base,2015,60000,Gasoline,348.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,6-Speed M/T,Red,Black,None reported,17500
809,Dodge,Ram 3500 Quad Cab DRW,2005,143500,Diesel,385.0HP 6.7L Straight 6 Cylinder Engine Diesel Fuel,6-Speed A/T,White,Gray,At least 1 accident or damage reported,9950
810,Mercedes-Benz,CLK-Class CLK 350,2008,93000,Gasoline,268.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,7-Speed A/T,White,Gray,None reported,12000
811,Audi,S6 4.0T,2020,39102,Gasoline,4.0 Liter TFSI,Automatic,Mythos Black Metallic,Black,None reported,41598
812,Jeep,Wrangler Sport,2014,86250,Gasoline,285.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,4-Speed A/T,Red,Black,None reported,61000
813,Audi,A4 2.0T Premium,2016,160000,Gasoline,220.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,Red,Beige,At least 1 accident or damage reported,22500
814,Ford,F-250 XLT,2019,50000,E85 Flex Fuel,385.0HP 6.2L 8 Cylinder Engine Flex Fuel Capability,A/T,White,Gray,At least 1 accident or damage reported,42000
815,Land,Rover Range Rover 5.0L Supercharged Autobiography LWB,2018,1067,Gasoline,518.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Black,None reported,66000
816,Cadillac,Escalade Premium,2014,123500,E85 Flex Fuel,403.0HP 6.2L 8 Cylinder Engine Flex Fuel Capability,6-Speed A/T,White,Black,At least 1 accident or damage reported,27000
817,Porsche,911 Carrera Cabriolet,2003,156350,Gasoline,315.0HP 3.6L Flat 6 Cylinder Engine Gasoline Fuel,6-Speed M/T,Silver,Black,At least 1 accident or damage reported,20000
818,Audi,RS 7 4.0T,2020,4100,Hybrid,591.0HP 4.0L 8 Cylinder Engine Gasoline/Mild Electric Hybrid,Transmission w/Dual Shift Mode,Black,Black,None reported,70000
819,Land,Rover Range Rover 3.0L V6 Supercharged HSE,2019,70891,Gasoline,380.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,A/T,Black,Black,None reported,36800
820,Ford,Bronco Sport Big Bend,2021,37806,Gasoline,1.5L I3 12V PDI DOHC Turbo,8-Speed Automatic,Silver,Slate,None reported,39366
821,Tesla,Model 3 Standard Range Plus,2019,49814,,Electric Motor Electric Fuel System,1-Speed A/T,White,Black,None reported,32455
822,Volkswagen,Golf R 4-Door,2017,55000,Gasoline,292.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,Black,Black,None reported,55000
823,Kia,Sorento SXL,2020,38356,Gasoline,3.3L V6 24V GDI DOHC,6-Speed Automatic,Ebony Black,Satin Black,None reported,45999
824,Ford,Transit-350 Base,2018,230000,E85 Flex Fuel,275.0HP 3.7L V6 Cylinder Engine Flex Fuel Capability,6-Speed A/T,White,Gray,,16500
825,Ford,F-150 XLT,2014,49600,Gasoline,365.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Silver,Black,None reported,20995
826,BMW,528 i xDrive,2015,86121,Gasoline,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,8-Speed A/T,White,Black,At least 1 accident or damage reported,22500
827,Mazda,CX-9 Carbon Edition,2022,20472,Gasoline,227.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,Red,Beige,None reported,31999
828,Lexus,RX 350 F Sport Performance,2021,47700,Gasoline,295.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Black,None reported,29500
829,Mazda,CX-9 Signature,2019,106000,Gasoline,228.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,Black,Black,At least 1 accident or damage reported,25900
830,Chevrolet,Camaro 2LT,2008,152000,Gasoline,312.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,A/T,Black,Black,At least 1 accident or damage reported,5900
831,Audi,A5 2.0T Premium,2019,23827,Gasoline,248.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,White,Brown,None reported,48000
832,Acura,TL 3.2,2005,220000,Gasoline,270.0HP 3.2L V6 Cylinder Engine Gasoline Fuel,A/T,Blue,Gray,None reported,11999
833,Ford,Transit Connect XLT,2015,119755,Gasoline,169.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,White,Gray,None reported,14945
834,Jeep,Wrangler Sport,2018,48156,Gasoline,3.6 Liter,Automatic,Black,Black,None reported,31698
